"","curr_c","curr_gamma","svm_acc","svm_sens","svm_spec"
"1",0.01,1e-06,46.3947597359398,0,1
"2",0.01,0.001,77.2222506524743,0.887350835322196,0.63920141186852
"3",0.01,1,46.3947597359398,0,1
"4",0.01,10,46.3947597359398,0,1
"5",0.1,1e-06,46.3947597359398,0,1
"6",0.1,0.001,91.8479095235658,0.969355608591885,0.85969556585043
"7",0.1,1,46.3947597359398,0,1
"8",0.1,10,46.3947597359398,0,1
"9",1,1e-06,75.0524538150555,0.848019093078759,0.63787778513126
"10",1,0.001,89.278951947188,0.862434367541766,0.927862342819325
"11",1,1,46.3947597359398,0,1
"12",1,10,46.3947597359398,0,1
"13",10,1e-06,88.6904457294918,0.981193317422434,0.777961614824619
"14",10,0.001,88.6239189396653,0.848114558472554,0.930288991837635
"15",10,1,46.3947597359398,0,1
"16",10,10,46.3947597359398,0,1
